,file_number,direction,action,action_date,person_id,person_name,OfficeRecordFullName,District,vote_value,voted_yes,voted_no,aligned
0,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7801,Christopher Marte,Christopher Marte,1,Affirmative,True,False,True
1,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7740,Carlina Rivera ,Carlina Rivera ,2,Affirmative,True,False,True
2,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7802,Erik D. Bottcher,Erik D. Bottcher,3,Affirmative,True,False,True
3,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7741,Keith Powers ,Keith Powers ,4,Affirmative,True,False,True
4,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7803,Julie Menin,Julie Menin,5,Affirmative,True,False,True
5,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,5259,Gale A. Brewer,Gale A. Brewer,6,Affirmative,True,False,True
6,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7804,Shaun Abreu,Shaun Abreu,7,Affirmative,True,False,True
7,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7742,Diana I. Ayala,Diana I. Ayala,8,Affirmative,True,False,True
8,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7866,Yusef Salaam,Yusef Salaam,9,Affirmative,True,False,True
9,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7806,Carmen N. De La Rosa,Carmen N. De La Rosa,10,Affirmative,True,False,True
10,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7799,Eric Dinowitz,Eric Dinowitz,11,Affirmative,True,False,True
11,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7794,Kevin C. Riley,Kevin C. Riley,12,Affirmative,True,False,True
12,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7865,Kristy Marmorato,Kristy Marmorato,13,Negative,False,True,False
13,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7808,Pierina Ana Sanchez,Pierina Ana Sanchez,14,Affirmative,True,False,True
14,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7798,Oswald J. Feliz,Oswald J. Feliz,15,Affirmative,True,False,True
15,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7809,Althea V.  Stevens,Althea V.  Stevens,16,Affirmative,True,False,True
16,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7714,"Rafael Salamanca, Jr.","Rafael Salamanca, Jr.",17,Affirmative,True,False,True
17,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7810,Amanda C. Farías,Amanda C. Farías,18,Affirmative,True,False,True
18,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7811,Vickie Paladino,Vickie Paladino,19,Negative,False,True,False
19,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7812,Sandra Ung,Sandra Ung,20,Abstain,False,False,False
20,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7745,Francisco P. Moya,Francisco P. Moya,21,Abstain,False,False,False
21,Int 0047-2024,pro_vendor,Approved by Council,2025-06-30 13:30:00,7813,Tiffany L. Cabán,Tiffany L. Cabán,22,Affirmative,True,False,True
