,MatterId,MatterGuid,MatterLastModifiedUtc,MatterRowVersion,MatterFile,MatterName,MatterTitle,MatterTypeId,MatterTypeName,MatterStatusId,MatterStatusName,MatterBodyId,MatterBodyName,MatterIntroDate,MatterAgendaDate,MatterPassedDate,MatterEnactmentDate,MatterEnactmentNumber,MatterRequester,MatterNotes,MatterVersion,MatterCost,MatterText1,MatterText2,MatterText3,MatterText4,MatterText5,MatterDate1,MatterDate2,MatterEXText1,MatterEXText2,MatterEXText3,MatterEXText4,MatterEXText5,MatterEXText6,MatterEXText7,MatterEXText8,MatterEXText9,MatterEXText10,MatterEXText11,MatterEXDate1,MatterEXDate2,MatterEXDate3,MatterEXDate4,MatterEXDate5,MatterEXDate6,MatterEXDate7,MatterEXDate8,MatterEXDate9,MatterEXDate10,MatterAgiloftId,MatterReference,MatterRestrictViewViaWeb,MatterReports,FloorVote,Enacted
6,31556,0169C998-8E03-4E1B-9B65-F9317622F89D,2015-07-06T15:13:33.8,AAAAACA4G4Y=,Int 0491-2004,License application requirements for general and food street vendors.,"A Local Law to amend the administrative code of the city of New York, in relation to the license application requirements for general and food street vendors and to repeal paragraph 7 of subdivision b of section 17-309 and paragraph 6 of subdivision b of section 20-455 of the administrative code of the city of New York.",2,Introduction,35,Enacted,5,Committee on Consumer Affairs,2004-11-10,2004-11-10T00:00:00,2005-07-11T00:00:00,2005-07-11T00:00:00,2005/066,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\fs17 Local Law 66 of 2005\cf0\fs20\par
}
",A,,,7,,,,,,,,,,,,,,Barron,Recved from Mayor by Council,,,,,,,,,,,2005-07-12T00:00:00,0,,False,[],True,True
17,60857,02C5854C-EFB1-4E1F-B6E8-A35A8C6E5F62,2021-12-22T21:08:15.613,AAAAAOZXPKs=,Int 0969-2018,Obstructions and street vendors in certain areas of downtown Flushing.,"A Local Law to amend the administrative code of the city of New York, in relation to obstructions and street vendors in certain areas of downtown Flushing",2,Introduction,35,Enacted,5236,Committee on Consumer Affairs and Business Licensing,2018-06-07,2018-06-07T00:00:00,2018-10-27T00:00:00,2018-10-27T00:00:00,2018/181,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 181 of 2018\par
}",A,,6487,11,,,,,,,,,,"Despite recent widening, the sidewalks of downtown Flushing remain very congested. To allow greater pedestrian access and ease sidewalk congestion, this bill would prohibit obstructions and food vendors on certain streets in downtown Flushing and would prohibit general merchandise vendors within certain boundaries of downtown Flushing.",,,,Chin,Returned Unsigned by Mayor,,,,,,,,,,,2018-10-31T00:00:00,0,,False,[],True,True
19,61508,546D81C2-507D-4502-9F48-E5088C3978B7,2021-12-23T00:03:48.847,AAAAAOZXq7Y=,Int 1116-2018,"Expanding the availability of food vendor permits, creating an office of street vendor enforcement, and establishing a street vendor advisory board.","A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to expanding the availability of food vendor permits, creating an office of street vendor enforcement, and establishing a street vendor advisory board",2,Introduction,35,Enacted,5236,Committee on Consumer Affairs and Business Licensing,2018-09-26,2018-09-26T00:00:00,2021-02-28T00:00:00,2021-02-28T00:00:00,2021/018,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 18 of 2021\par
}",B,,634,11,,,,,,Int 1303-2016,,,,"This bill would gradually expand the number of permits to vend food on the streets and sidewalks of New York City. A number of new permits, now referred to as supervisory licenses, would be issued in batches each year beginning in 2022 until 2032. The new supervisory licenses require at least one supervisory licensee to be present at a pushcart at all times. This new requirement will not be applied to existing permits until 2032, at which time a supervisory licensee must be present at any cart to operate. The bill will also create a new dedicated vending law enforcement unit, which would exclusively enforce vending laws. It would focus on areas of the City with known vending enforcement challenges, but will respond to vending complaints and violations throughout the City. The bill would also create a street vendor advisory board, to assess the effectiveness of the enforcement unit and the roll-out of new permits, and examine and make recommendations pertaining to vending laws.",,,,Chin,Returned Unsigned by Mayor,,,,,,,,,,,2021-03-01T10:25:00,0,,False,[],True,True
21,64163,B537EEC4-D339-440B-BF1C-B331355061C3,2021-12-24T21:00:32.367,AAAAAOZYtMU=,Int 1657-2019,Prohibiting street vending on certain streets in Dyker Heights in Brooklyn beginning on Thanksgiving Day until New Year’s Day.,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting street vending on certain streets in Dyker Heights in Brooklyn beginning on Thanksgiving until New Year’s Day",2,Introduction,35,Enacted,5236,Committee on Consumer Affairs and Business Licensing,2019-08-14,2019-08-14T00:00:00,2019-11-17T00:00:00,2019-11-17T00:00:00,2019/191,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 191 of 2019\par
}",A,,10526,11,,,,,,,,,,"This bill prohibits street vending on certain streets in Dyker Heights beginning on Thanksgiving until New Year’s day. The prohibited streets are bounded on the west by 10th Avenue, on the south by 86th Street, on the east by 13th Avenue and on the north by 81st Street in the borough of Brooklyn. The ban is in effect from 2:00 p.m. until 6:00am the following day.",,,,Brannan,Returned Unsigned by Mayor,,,,,,,,,,,2019-11-18T14:15:00,0,,False,[],True,True
27,73421,C6A1F852-AFB2-48D9-8E41-9DBF264CAC33,2026-07-20T17:46:38.083,AAAAAOhDzjU=,Int 0408-2024,Creating a division within the department of small business services to assist street vendors and reporting regarding such assistance efforts,"A Local Law to amend the New York city charter, in relation to creating a division within the department of small business services to assist street vendors and reporting regarding such assistance efforts",2,Introduction,35,Enacted,5269,Committee on Consumer and Worker Protection,2024-02-28,2024-02-28T00:00:00,2026-01-29T00:00:00,2026-01-29T00:00:00,2026/053,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 53 of 2026\par
}",A,,"4494, 5774, 9408, 9517, 10303, 12814 and 14198",13,,,,,,Int 1268-2023,,,,"This bill would create a Division of Street Vendor Assistance within the Department of Small Business Services (SBS) to assist street vendors. The Division would have to recommend serve as a clearinghouse for the provision of services and resources for entrepreneurs interested in street vending opportunities, publish a list of services and resources vendors may use, and connect street vendors to SBS programs. The Division would also be required to offer training and education and to conduct outreach to street vendors. Further, the Commissioner would be required to annually submit to the Speaker and the Mayor, and publish on the SBS website, a report on the Division’s assistance to street vendors.",,,,Public Advocate Williams,Overridden by Council,,,,,,,,,,,2026-01-29T00:00:00,0,,False,[],True,True
61,34069,A344337B-A11D-4D37-90EF-79CD3F6551FA,2015-08-13T15:40:31.01,AAAAACA7Qq0=,Int 0696-2005,Renewal applications of certain full-term mobile food vendor permits.,"A Local Law to amend the administrative code of the city of New York, in relation to renewal applications of certain full-term mobile food vendor permits.",2,Introduction,35,Enacted,14,Committee on Health,2005-08-17,2005-08-17T00:00:00,2005-12-29T00:00:00,2005-12-29T00:00:00,2005/128,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\fs17 Local Law 128 of 2005\cf0\fs20\par
}
",*,,3364,7,,,,,,,,,,,,,,Felder,Recved from Mayor by Council,,,,,,,,,,,2005-12-30T00:00:00,0,,False,[],True,True
70,56975,2EF2ECCD-71D9-44EB-9DDA-A9F83EE1F03A,2017-08-15T13:31:10.14,AAAAAOVmH5Y=,Int 1456-2017,Requiring mobile food vendors to post letter grades received for sanitary inspections.,"A Local Law to amend the administrative code of the city of New York, in relation to requiring mobile food vendors to post letter grades received for sanitary inspections",2,Introduction,35,Enacted,14,Committee on Health,2017-02-01,2017-02-01T00:00:00,2017-05-30T00:00:00,2017-05-30T00:00:00,2017/108,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs16 Local Law 108 of 2017\fs20\par
}",A,,1126,10,,,,,,"Int 0105-2010, Int 0958-2009",,,,This bill would require letter grades to be issued to food trucks and carts based on their health inspections. These grades would be required to be posted in public view at all times that the truck or cart is operating.,,,,Koslowitz,Recved from Mayor by Council,,,,,,,,,,,2017-06-02T00:00:00,0,,False,[],True,True
77,72359,337A3E3C-68B4-4506-823B-11E285724A04,2025-12-22T15:09:48.543,AAAAAOgBpBU=,Int 0050-2024,"Requiring food vendors to obtain a certificate of authority to collect sales tax, repeal sections 17-310 & 20-457 of such code, relating to tax clearance and minimum tax payments for  renewal of mobile food licenses, permits and general vending licenses.","A Local Law to amend the administrative code of the city of New York, in relation to the requirement of food vendors to obtain a certificate of authority to collect sales tax, to repeal sections 17-310 and 20-457 of such code, relating to tax clearance and minimum tax payments for the renewal of mobile food licenses and permits and general vending licenses, and to make other technical corrections",2,Introduction,35,Enacted,5269,Committee on Consumer and Worker Protection,2024-02-08,2024-02-08T00:00:00,2024-03-29T00:00:00,2024-03-29T00:00:00,2024/052,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 52 of 2024\par
}",A,,10981,13,,,,,,Int 1188-2023,,,,The bill would eliminate the requirement that individual employees of mobile food vending carts or trucks each have a New York State Certificate of Sales Tax Authority. This bill would also eliminate the requirement that mobile food vendors and general vendors obtain a tax clearance certificate upon renewal of a license or permit.,,,,Menin,Returned Unsigned by Mayor,,,,,,,,,,,2024-04-01T00:00:00,0,,False,[],True,True
78,72364,90A823EF-8AC7-4C2F-A167-FBEAEB152BC6,2026-06-30T17:31:36.633,AAAAAOhAP9M=,Int 0047-2024,Repealing the misdemeanor criminal penalties for general vendors and mobile food vendors.,"A Local Law to amend the administrative code of the city of New York, in relation to repealing the misdemeanor criminal penalties for general vendors and mobile food vendors",2,Introduction,35,Enacted,5269,Committee on Consumer and Worker Protection,2024-02-08,2024-02-08T00:00:00,2025-09-10T00:00:00,2025-09-10T00:00:00,2025/122,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 122 of 2025\par
}",B,,9484,13,,,,,,Int 1264-2023,,,M 0156-2025,This bill would remove all misdemeanor criminal penalties for general vendors and mobile food vendors. Vendors who operate without a license could be subject to a violation and a fine or a civil penalty. Vendors who violate any other street vending laws would be subject to a civil penalty.,,,,Krishnan,Overridden by Council,,,,,,,,,,,2025-09-10T00:00:00,0,,False,[],True,True
79,72874,C824F9DA-9942-48FB-A801-0D92F3B4C5AB,2026-07-20T17:47:38.753,AAAAAOhDzmk=,Int 0431-2024,Expanding business licensing and regulatory compliance of all mobile food and general vendors.,"A Local Law to amend the New York city charter and the administrative code of the city of New York, in relation to expanding business licensing and regulatory compliance of all mobile food and general vendors",2,Introduction,35,Enacted,5269,Committee on Consumer and Worker Protection,2024-02-28,2024-02-28T00:00:00,2026-01-29T00:00:00,2026-01-29T00:00:00,2026/054,,"{\rtf1\ansi\ansicpg1252\deff0\deflang1033{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 Local Law 54 of 2026\par
}",B,,8036,13,,,,,,Int 1270-2023,,,,"This bill would expand the number of licenses that are available to vend food and merchandise on the sidewalks of New York City. It would make 2,200 additional supervisory license applications available to prospective mobile food vendors annually from 2026 until 2031. This bill would also expand the number of general vendor licenses available to vend merchandise such that 10,500 new general vending licenses would be made available in 2027. This bill would expand street vendor training, increase the share of enforcement agents required to inspect street vendor setups, and increase civil penalties for violations of certain siting requirements. It would also allow license suspension and revocation for 3 violations of certain time, place and manner restrictions in a 1-year period. This bill would add a requirement that vendors keep the area around their cart free from garbage and maintain proof of proper trash disposal. This bill would expand the Street Vendor Advisory Board and require the board to examine and make recommendations pertaining to the new requirements.",,,,Sanchez,Overridden by Council,,,,,,,,,,,2026-01-29T00:00:00,0,,False,[],True,True
