unique_key,created_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,council_district,bbl,borough,latitude,longitude
42111610,2019-04-01T07:18:41.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Permit/License/Certificate,Unlicensed/Unpermitted Vendor,Green Cart Vendor,10025.0,2521 BROADWAY,BROADWAY,6.0,1012420010.0,MANHATTAN,40.79344907269756,-73.97267528195327
62142590,2024-08-16T07:42:35.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,11249.0,41 NORTH    6 STREET,NORTH    6 STREET,33.0,3023250001.0,BROOKLYN,40.71965635643888,-73.96211386940763
41926287,2019-03-11T03:24:40.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Garbage,Garbage Improperly Stored,Mobile Food Vendor,10452.0,1508 MACOMBS ROAD,MACOMBS ROAD,14.0,2028650015.0,BRONX,40.84342895805744,-73.91766787991108
51459212,2021-08-07T16:52:01.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Source/Protection,Food Contaminated,Mobile Food Vendor,11220.0,5 AVENUE,5 AVENUE,38.0,,BROOKLYN,40.64398589696344,-74.01148411369388
67229610,2025-12-18T08:08:40.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10172.0,EAST   47 STREET,EAST   47 STREET,4.0,,MANHATTAN,40.75530056250419,-73.97534387376678
64677727,2025-04-17T09:11:39.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,11354.0,39-01 MAIN STREET,MAIN STREET,20.0,4049800005.0,QUEENS,40.76016833864922,-73.83042294583589
46909331,2020-07-19T15:44:51.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Ice Cream Truck/Cart,Park,11235.0,BRIGHTON    2 STREET,BRIGHTON    2 STREET,48.0,,BROOKLYN,40.575542389709724,-73.96486301544192
65622742,2025-07-21T07:33:56.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10007.0,55 CHURCH STREET,CHURCH STREET,1.0,1000800004.0,MANHATTAN,40.711452531399594,-74.0105037926806
58760141,2023-09-08T13:39:10.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10019.0,1619 BROADWAY,BROADWAY,3.0,1010210019.0,MANHATTAN,40.76105786456666,-73.98433004028819
64975670,2025-05-17T11:43:56.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Food,Park,10028.0,1000 5 AVENUE,5 AVENUE,6.0,1011110001.0,MANHATTAN,40.77863290127972,-73.96254609596876
65417966,2025-06-29T21:53:17.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10001.0,368 10 AVENUE,10 AVENUE,3.0,1007297507.0,MANHATTAN,40.75278901295901,-74.00044033581453
63105821,2024-11-16T15:33:26.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,11237.0,1448 MYRTLE AVENUE,MYRTLE AVENUE,37.0,3033080019.0,BROOKLYN,40.69895896894032,-73.91680765156046
64534625,2025-04-02T15:06:42.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10021.0,924 MADISON AVENUE,MADISON AVENUE,4.0,1013880117.0,MANHATTAN,40.77274064452245,-73.96474813837989
65047090,2025-05-24T22:36:58.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,11201.0,20 OLD FULTON STREET,OLD FULTON STREET,33.0,3002010005.0,BROOKLYN,40.7027848978745,-73.9941500904659
66167378,2025-09-15T11:24:02.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10001.0,450 WEST   33 STREET,WEST   33 STREET,3.0,1007297507.0,MANHATTAN,40.753563026171726,-73.99881252322709
57380967,2023-04-21T08:48:00.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,11232.0,4301 5 AVENUE,5 AVENUE,38.0,,BROOKLYN,40.6489351422054,-74.00632087530622
63757847,2025-01-13T14:14:34.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10033.0,OVERLOOK TERRACE,OVERLOOK TERRACE,10.0,,MANHATTAN,40.85382125851575,-73.93635434371556
65665718,2025-07-25T09:34:49.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10007.0,185 BROADWAY,BROADWAY,1.0,1000637501.0,MANHATTAN,40.71060169121596,-74.01009967173421
66714997,2025-11-03T15:28:50.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,11214.0,2201 86 STREET,86 STREET,43.0,3063480001.0,BROOKLYN,40.60188394892832,-73.99368718025208
64834143,2025-05-03T14:56:07.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10019.0,1619 BROADWAY,BROADWAY,3.0,1010210019.0,MANHATTAN,40.76105786456666,-73.98433004028819
56168260,2022-12-05T14:10:10.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Permit/License/Certificate,Unlicensed/Unpermitted Vendor,Mobile Food Vendor,10451.0,300 CANAL PLACE,CANAL PLACE,8.0,2023400072.0,BRONX,40.81315316350118,-73.9275785284788
58826286,2023-09-15T21:37:04.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,11040.0,76-03 270 STREET,270 STREET,23.0,4085480060.0,QUEENS,40.7530658621435,-73.70660103511523
23607054,2012-07-12T16:35:49.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Ice Cream Truck/Cart,Park,10030.0,,,7.0,,MANHATTAN,40.82325960395389,-73.94292334560629
58714490,2023-09-04T10:35:26.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Accessories/Merchandise,Park,11235.0,817 BOARDWALK WEST,BOARDWALK WEST,47.0,3086970004.0,BROOKLYN,40.57341012025618,-73.97759238366339
61259317,2024-05-24T14:01:40.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,11355.0,41-33 KISSENA BOULEVARD,KISSENA BOULEVARD,20.0,4050447501.0,QUEENS,40.75802483593421,-73.82866691784011
62395220,2024-09-10T07:15:43.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10007.0,189 BROADWAY,BROADWAY,1.0,1000630013.0,MANHATTAN,40.710255892218875,-74.00961988741942
66040763,2025-09-03T15:45:23.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,11232.0,4309 8 AVENUE,8 AVENUE,38.0,3007330007.0,BROOKLYN,40.64492244165695,-73.99975136022435
50287776,2021-04-15T11:06:24.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Temperature,Bad Food-Improper Temperature,Mobile Food Vendor,11354.0,40-17 MAIN STREET,MAIN STREET,20.0,4050190005.0,QUEENS,40.7591026030726,-73.82989864889562
